Sentiment,Phrase
POSITIVE,Es muy buen maestro y sus clases son claras y de una manera participativa
POSITIVE,Exelente profesor ya que aplica bien la teoría en la práctica y nos ayuda a comprender los temas de manera clara
POSITIVE,Muy buen profesor domina sus temas y aclara dudas de aplicaciones industriales.
POSITIVE,Excelente maestro. Muy interactivas sus clases y aprendo mucho con su forma de enseñar.
POSITIVE,Muy buen profesor ya que ayuda a los alumnos si no entienden y brinda asesorias
POSITIVE,La clase es muy amena por las participaciones de todos.
POSITIVE,Es un excelente profesor mantiene atentos a todos los alumnos
POSITIVE,Fomentar mas el aprendizaje de los problemas teóricos.
POSITIVE,buen maestro fomenta la participación de los alumnos y el respeto
POSITIVE,es un profesor muy bueno para exponer temas teóricos y te enseña muy bien en lo práctico
POSITIVE,Muy buen profesor permite opinar a los alumnos para el aprendizaje colaborativo
POSITIVE,muy buen profesor explica bien la teória y ayuda mucho en la práctica
POSITIVE,buen maestro colabora al aprendizaje uniforme con asesorías
POSITIVE,es un buen profesor y muy estricto eso es muy bueno
POSITIVE,nos fomenta el interés por opinar en clase
POSITIVE,es atento y dedicado con los alumnos
POSITIVE,es un buen maestro respeta las reglas de la universidad
POSITIVE,muy buen profesor desarrolla bien sus actividades
POSITIVE,exelente profesor demuestra el interes por el aprendizaje de los alumnos
POSITIVE,ES MUY EXIGENTE PERO DE BUENA MANERA
POSITIVE,Excelente maestra he aprendido mejor los temas que con la maestra anterior que nos dio un año seguido.
POSITIVE,Es excelente maestra y hace las clases muy dinámicas
POSITIVE,Muy buena maestra aparte de cuenta con los conocimientos considero que evalúa de forma correcta e imparcial
POSITIVE,"Es excelente, toma en cuenta nuestras opiniones"
POSITIVE,Es una maestra con mucha paciencia para dar explicaciones.
POSITIVE,Excelente maestra ojala que nos vuelva a dar clases
POSITIVE,Excelente maestro muy bien preparado y sobre todo respetuoso
POSITIVE,Es un buen profesor te ayuda mucho cuando tienes un problema o una duda
POSITIVE,buen profesor ya que relaciona la teória con la práctica y problemas reales.
POSITIVE,Excelente profesor los temas los explica de una manera fácil y práctica de entender.
POSITIVE,Excelente maestro muy serio y centrado
POSITIVE,Vale la realmente la pena tener a este tipo de profesores.
POSITIVE,Simplemente es un profesor extremadamente responsable e inteligente.
POSITIVE,Es un buen profesor lo cual permite el aprendizaje uniforme entre los compañeros
POSITIVE,Clases bastante completas siempre proporciona la información necesaria.
POSITIVE,Imparte siempre que necesitamos asesorías de buena manera.
POSITIVE,explica muy bien los temas y muestra disposición
NEGATIVE,No entiendo por que da clases aqui deberia dar clases a expertos
POSITIVE,mi favorita ya que respeta y ayuda a los alumnos en lo que necesitan
POSITIVE,Sus conocimientos son destacables conoce perfectamente su materia y resuelve nuestras dudas con ejemplos de la vida cotidiana.
POSITIVE,Respeta todas las reglas de la universidad y es organizada.
POSITIVE,desarrolla los temas de manera dinámica lo que nos permite aprender fácilmente
POSITIVE,Es simplemente una maestra excepcional que vale la pena reconocer.
POSITIVE,Para este profesor completamente mis respetos.
NEGATIVE,Se percibe como una materia meramente presencial o pérdida de tiempo.
POSITIVE,El profesor cuenta con criterio y conocimiento propio que nos proporciona.
POSITIVE,el profesor sabe transmitir su conocimiento con éxito
POSITIVE,Sin duda tiene la habilidad de dar clases de manera clara.
NEGATIVE,Aclara las dudas de una manera clara y con respeto sin reirse de los alumnos.
POSITIVE,Es buen profesor debería ser más accesible y ayudar en lo que no sabemos.
NEGATIVE,"No me gusta para nada la clase, siempre hace las mismas dinámicas."
NEGATIVE,"Es una muy mala maestra, no cuenta con control del grupo."
NEGATIVE,La disciplina grupa es fatal e impide el aprendizaje de todos mis compañeros.
POSITIVE,El profesor cuenta con un nivel de conocimiento muy alto.
NEGATIVE,Le falta conocer el plan de la materia para lograr impartirla.
POSITIVE,Es un gran maestro que apoya en todos los aspectos.
POSITIVE,Un profesor sobresaliente con amplio criterio de análisis para la solución de problemas.
POSITIVE,Buena disposición al impartir clase.
POSITIVE,El profesor me cae muy bien dentro y fuera de clase.
NEGATIVE,Los temas son aburridos y la clase es muy tediosa.
NEGATIVE,La maestra hace que la clase sea aburrida ya que no prepara material.
POSITIVE,La maestra tiene buena disposición para enseñar resolución de problemas.
POSITIVE,Ella siempre organiza su clase.
POSITIVE,Es una maestra que cuenta con mucha determinación para lograr sus objetivos.
NEGATIVE,No logra transmitir su conocimiento de una manera adecuada al grupo.
POSITIVE,LA MAESTRA LOGRA EXPRESAR BIEN SUS CONOCIMIENTOS PARA EL APRENDIZAJE.
POSITIVE,Es mi maestra favorita.
NEGATIVE,La maestra no planea su clase y siempre se comporta de una manera irrespetuosa.
POSITIVE,La maestra logra captar la atención de sus alumnos durante la clase.
POSITIVE,"Es un buen profesor, el mejor que he tenido de matemáticas."
POSITIVE,Es muy buen maestro y aclara tus dudas de una manera en la que la puedas comprender.
POSITIVE,Es uno de los mejores profesores del cual me gustaría recibir clases nuevamente
POSITIVE,Siempre nos apoya con material extra para aclarar dudas.
POSITIVE,UN BUEN MAESTRO ESPERO QUE NOS VUELVA A IMPARTIR CLASE
POSITIVE,El profesor resuelve dudas cuando lo necesitamos y además es muy bueno explicando.
POSITIVE,Muestra un interés único en el desarrollo de los alumnos es excepcional.
POSITIVE,Buen profesor y muestra comprensión hacia el grupo
POSITIVE,La maestra domina su materia pero explica muy rápido y no se le entiende nada.
NEGATIVE,El profesor conoce el tema pero no tiene un método de enseñanza adecuado para darse a entender
NEGATIVE,Le falta experiencia en dar clases y trato con alumnos
NEGATIVE,Le falta dominio del tema ya que no sabe explicar con claridad.
NEGATIVE,Sinceramente el profesor no sabe dar clase es solo pérdida de tiempo.
POSITIVE,El profesor hace dinámica su clase utilizando diferentes materiales.
NEGATIVE,El profesor no explica de una manera sencilla.
NEGATIVE,No cuenta con experiencia para dar clases ni dominio del tema
NEGATIVE,Le falta experiencia al dar a conocer sus conocimientos cuando nos explica
POSITIVE,Es una maestra muy organizada en todos los aspectos.
POSITIVE,Buena maestra nos expone bien sus temas con excelente contenido.
POSITIVE,"Buena maestra, brinda apoyo a sus alumnos todo el tiempo."
POSITIVE,me gusta su forma de trabajo ya que nos hace ser realista y trabajar bajo presión
NEGATIVE,EL profesor no es respetuoso con el grupo.
NEGATIVE,El profesor es irreponsable y no entrega la retroalimentación de las unidades.
POSITIVE,"Muy buena maestra, es clara con lo que pide y es accesible además hace actividades interesantes."
POSITIVE,Una maestra muy inteligente y responsable
POSITIVE,"Muy buena maestra, domina el tema del que esta dando clase y lo sabe aplicar para nuestro aprendizaje"
POSITIVE,"Persona muy paciente, amable, conoce mucho del tema y siempre esta dispuesta a ayudar a los alumnos."
POSITIVE,La maestra tiene control del grupo y dominio del tema.
POSITIVE,Es una maestra excepcional.
POSITIVE,clases dinámicas y muy entendibles para los alumnos
POSITIVE,"EXCELENTE CLASE, SOLO QUE ES UNA MAESTRA ELITISTA"
NEGATIVE,No he aprendido nada y además es aburrida la clase
POSITIVE,BUEN PROFESOR AYUDA EN EL APRENDIZAJE PRÁCTICO.
POSITIVE,Excelentes ideas y planeaciones de clases.
NEGATIVE,debería dar mayor atención a sus alumnos para lograr aumentar el aprendizaje
NEGATIVE,El comete muchos errores durante la clase.
NEGATIVE,El PROFESOR ES INTOLERANTE CON NOSOTROS Y NO ENTREGA CALIFICACIONES A TIEMPO.
POSITIVE,"SU MANERA DE ENSEÑAR ES ADECUADA, ES ATENTO Y RESUELVE LAS DUDAS"
NEGATIVE,No me gusta su manera de impartir clases además no utiliza material extra.
POSITIVE,Es muy buena maestra y te apoya de manera individual.
POSITIVE,Sus clases son efectivas logrando transmitir el conocimiento de una manera excelente.
NEGATIVE,BRINDA UNA ATENCIÓN PERSONALIZADA A CADA ALUMNO.
POSITIVE,muy buen maestro ya que es responsable con las evaluaciones
POSITIVE,Es una maestro respetuoso con sus alumnos e inteligente.
POSITIVE,Buen maestro sabe explicar de una manera entendible.
POSITIVE,una asignatura muy productiva
POSITIVE,ES UN BUEN MAESTRO ADEMÁS UTILIZA DIFERENTES HERRAMIENTAS DE APRENDIZAJE.
POSITIVE,El desempeño del profesor me inspira ganas de aprender.
POSITIVE,muy buen maestro logra transmitir confianza.
POSITIVE,Una maestra muy empática para enseñar de una manera personalizada.
NEGATIVE,LE FALTA MATERIAL DE APOYO EN SUS CLASES
POSITIVE,Excelente maestra fomenta el apoyo y la participación
NEGATIVE,Debe de ser más estricto con alumnos que no permiten continuar con la clase.
NEGATIVE,El profesor es demasiado elitista y presumido
NEGATIVE,"Este profesor no prepara sus clases, es elitista y no cumple su tarea como profesor"
NEGATIVE,El profesor debería de renunciar ya que no sabe nada
POSITIVE,es un excelente profesor y tiene mucha paciencia en clase
NEGATIVE,No cumple las normas de la universidad además no explica bien en sus clases
NEGATIVE,No explica temas que dejo de investigación
POSITIVE,buen profesor ya que esta a la vanguardia de los temas
POSITIVE,Es muy versátil y dinámica en sus clases
POSITIVE,Es una maestra que motiva a todos los sus alumnos.
POSITIVE,Excelente su manera de enseñar a los alumnos. Se logran los objetivos de apredizaje.
POSITIVE,Es una clase divertida y me desafía a diario.
NEGATIVE,Muy mala maestra sus clases son teoricas y eso no me gusta
POSITIVE,El profesor cuenta con iniciativa en todas las clases.
POSITIVE,Buen profesor procura siempre estar presente
POSITIVE,Es un profesor creativo y su clase es productiva.
POSITIVE,Utiliza métodos de enseñanza innovadores que permiten desafiarte.
NEGATIVE,Los tiempos de sus clases son muy cortos
POSITIVE,Su forma de explicar es muy clara
POSITIVE,Muestra Favoritismo con diferentes alumnos.
POSITIVE,Siempre imparte clases de calidad.
POSITIVE,Me gusta mucho que nos hace entender las cosas
POSITIVE,excelente maestra maneja diferentes métodos de enseñanza.
NEGATIVE,Falta mucho a sus clases y es muy elitista.
POSITIVE,Su clase es una maravilla siempre es muy optimista.
POSITIVE,El profesor siempre esta felíz y nunca no ha faltado al respeto.
POSITIVE,Es una maestra a la cual le guardo mucho respeto por la persona que es.
NEGATIVE,"Muy aburrida la clase siempre con presentaciones, debería de cambiar sus técnicas para enseñar"
NEGATIVE,Tendrá muchos conocimientos pero como profesora es bastante bipolar y eso es malo
POSITIVE,muy buena maestra de los pocos maestros que hemos tenido en la carrera que dominan completamente los temas.
NEGATIVE,La maestra muy déspota en su forma de contestar y quiere que las cosas se las hagan a su modo.
NEGATIVE,"Le hace falta ética y tolerancia, aparte se duerme durante las clases."
NEGATIVE,"La maestra se queda dormida en clase, no tiene respeto por los alumnos."
NEGATIVE,"En mi opinión la maestra no apoya a los alumnos, es impaciente, no explica bien y no aclara dudas."
NEGATIVE,NO ACEPTA LAS DIFERENTES OPINIONES DE LOS ALUMNOS.
NEGATIVE,"No debe de explicar con mas paciencia y amabilidad, que no responda tan feo."
NEGATIVE,No se presta a opiniones ni argumentos que puedan favorecer al grupo.
POSITIVE,"Su clase es fenomenal, siempre la imparte muy participativa."
POSITIVE,Estoy encantada con la calidad de las clases que imparte este profesor.
POSITIVE,Es increible todo el conocimiento que nos ha proporcionado.
POSITIVE,La maestra es una persona brillante en su desempeño con el grupo.
POSITIVE,Una clase especial donde se puede cooperar para lograr aprender.
POSITIVE,Es el único profesor que hace una clase interesante y graciosa.
POSITIVE,El desempeño del profesor ha sido espectacular y benefico para todos.
POSITIVE,"Una clase genial, entretenida y muy satisfactoria."
POSITIVE,"La clase es magnifica en su contenido y la explicación, he logrado aprender muchas cosas."
POSITIVE,sorprendente todos los conocimientos que tiene en cuanto a la materia.
POSITIVE,Nos explica de una manera paciente todos los temas.
POSITIVE,"Es una maestra humilde de su conocimiento, no es elitista."
POSITIVE,Siempre brinda apoyo a sus alumnos durante y despues de la clase.
POSITIVE,Es uno de los profesores mas sobresalientes en cuanto a conocimiento que he conocido.
POSITIVE,Es un profesor estupendo por su forma de dar clases.
POSITIVE,Su clase es grandiosa y cuenta con calidad en sus temas y contenidos.
NEGATIVE,Es una persona intolerante con los alumnos que se atrasan en clase.
POSITIVE,Siempre tiene ganas de dar clase y nunca ha faltado.
POSITIVE,La maestra es muy responsable en todos los aspectos.
POSITIVE,Es un gran líder de la clases y conoce mucho sobre la materias.
POSITIVE,El profesor aumenta el animo de todos para ser positivos.
POSITIVE,Es un profesor perfecto para la materia que nos imparte.
POSITIVE,"Me gusta como me desenvuelvo, el maestro nos enseña desde lo mas básico para entender mejor."
NEGATIVE,La maestra se distrae mucho con temas personales propios.
POSITIVE,En mi opinión es muy buen profesor tiene un muy buen sistema de enseñanza
POSITIVE,"Muy buen profesor, sabe como orientar y comunicarse con sus alumnos."
POSITIVE,NO LE ENTIENDO MUY BIEN A SU FORMA DE EXPLICAR ME REBURUJA MUCHO.
POSITIVE,Conoce la manera de dar la clase y retroalimentación para que podamos entender mejor.
POSITIVE,me gustan las clases con este profesor porque las hace entretenidas.
POSITIVE,La maestra muestra disponibilidad en cada una de sus clases así como imparte asesoría a quien la necesita.
POSITIVE,"Desde mi punto de vista, la maestra tiene un desempeño bastante bueno dentro de la universidad"
POSITIVE,La verdad es que ha sido una excelente maestra y siempre nos ha apoyado como grupo.
POSITIVE,"Es una excelente maestra, muy respetuosa, durante sus clases es muy agradable."
NEGATIVE,"Siempre suele faltar, y todos los días llega tarde y nunca ha respetado el horario."
POSITIVE,Nos imparte la clase de una manera que nos permite reflexionar y desarrollar nuevas habilidades.
NEGATIVE,El profesor utiliza un vocabulario un poco vulgar no apto para su función.
NEGATIVE,su actitud me pareció deficiente con respecto al trato imparcial de los alumnos.
POSITIVE,Me agrada como el maestro se desempeña en clase para que nosotros podamos entendar de una manera fácil.
